,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
124,I1,27/11/05,Empoli,Lazio,2,3,A,0,1,A,P. Tagliavento,12.0,12.0,8.0,8.0,20.0,16.0,5.0,9.0,1,3,1,0
125,I1,27/11/05,Juventus,Treviso,3,1,H,2,1,H,S. Racalbuto,11.0,4.0,6.0,3.0,14.0,24.0,3.0,3.0,0,0,0,0
126,I1,27/11/05,Messina,Inter,1,2,A,0,1,A,M. Trefoloni,12.0,14.0,6.0,5.0,20.0,12.0,5.0,8.0,2,1,0,0
127,I1,27/11/05,Parma,Udinese,1,2,A,0,1,A,M. Bergonzi,7.0,9.0,2.0,5.0,24.0,23.0,3.0,2.0,2,1,0,0
128,I1,27/11/05,Roma,Fiorentina,1,1,D,1,0,H,N. Ayroldi,9.0,8.0,5.0,3.0,22.0,24.0,6.0,4.0,3,1,1,0
129,I1,27/11/05,Siena,Reggina,0,0,D,0,0,D,O. Pantana,1.0,7.0,0.0,2.0,18.0,19.0,1.0,3.0,3,2,1,0
130,I1,03/12/05,Chievo,Milan,2,1,H,1,1,D,T. Pieri,10.0,13.0,5.0,4.0,19.0,19.0,3.0,3.0,2,3,0,0
131,I1,03/12/05,Inter,Ascoli,1,0,H,1,0,H,A. De Marco,15.0,9.0,8.0,3.0,18.0,15.0,8.0,2.0,1,0,0,0
132,I1,04/12/05,Fiorentina,Juventus,1,2,A,1,1,D,D. Messina,,,,,,,,,0,3,0,0
133,I1,04/12/05,Lazio,Siena,3,2,H,1,0,H,L. Marelli,,,,,,,,,0,0,0,0
134,I1,04/12/05,Lecce,Roma,2,2,D,0,2,A,N. Rizzoli,,,,,,,,,2,3,0,0
135,I1,04/12/05,Palermo,Cagliari,2,2,D,2,0,H,F. Squillace,,,,,,,,,5,3,0,0
136,I1,04/12/05,Reggina,Parma,2,1,H,2,1,H,N. Stefanini,,,,,,,,,2,3,0,1
137,I1,04/12/05,Sampdoria,Empoli,2,0,H,0,0,D,G. Gava,,,,,,,,,1,1,0,0
138,I1,04/12/05,Treviso,Messina,0,0,D,0,0,D,S. Cassara',,,,,,,,,2,3,0,1
139,I1,04/12/05,Udinese,Livorno,0,2,A,0,1,A,E. Morganti,,,,,,,,,2,3,0,0
140,I1,10/12/05,Fiorentina,Treviso,1,0,H,0,0,D,R. Herberg,,,,,33.0,34.0,2.0,3.0,1,4,0,0
141,I1,10/12/05,Siena,Empoli,1,0,H,1,0,H,M. Gabriele,,,,,24.0,20.0,3.0,6.0,4,3,0,0
142,I1,11/12/05,Ascoli,Reggina,1,1,D,0,0,D,M. De Santis,9.0,5.0,5.0,3.0,23.0,20.0,3.0,6.0,4,2,0,1
143,I1,11/12/05,Inter,Milan,3,2,H,1,1,D,D. Messina,16.0,7.0,5.0,3.0,20.0,19.0,5.0,3.0,2,3,0,0
144,I1,11/12/05,Juventus,Cagliari,4,0,H,2,0,H,M. Mazzoleni,15.0,8.0,9.0,3.0,22.0,10.0,7.0,3.0,0,3,0,0
145,I1,11/12/05,Livorno,Lazio,2,1,H,0,0,D,D. Tombolini,9.0,13.0,5.0,7.0,23.0,15.0,2.0,7.0,1,0,0,0
146,I1,11/12/05,Messina,Chievo,2,0,H,2,0,H,S. Racalbuto,,,,,,,,,1,1,0,1
147,I1,11/12/05,Parma,Sampdoria,1,1,D,1,0,H,S. Farina,9.0,7.0,4.0,4.0,27.0,25.0,3.0,7.0,4,4,0,0
148,I1,11/12/05,Roma,Palermo,1,2,A,1,1,D,P. Bertini,6.0,6.0,3.0,2.0,10.0,16.0,2.0,8.0,1,3,0,0
149,I1,11/12/05,Udinese,Lecce,1,2,A,0,1,A,M. Trefoloni,8.0,8.0,2.0,5.0,20.0,21.0,8.0,4.0,2,3,0,0
150,I1,17/12/05,Lazio,Juventus,1,1,D,1,1,D,T. Pieri,,,,,20.0,30.0,3.0,7.0,2,3,0,0
151,I1,17/12/05,Treviso,Lecce,2,1,H,1,0,H,R. Rosetti,,,,,20.0,26.0,2.0,3.0,4,4,0,1
152,I1,18/12/05,Cagliari,Ascoli,2,1,H,2,0,H,P. Rodomonti,4.0,12.0,3.0,6.0,22.0,23.0,4.0,7.0,2,4,0,0
153,I1,18/12/05,Chievo,Udinese,2,0,H,1,0,H,L. Banti,10.0,9.0,4.0,3.0,25.0,16.0,7.0,3.0,2,3,0,1
154,I1,18/12/05,Empoli,Fiorentina,1,1,D,0,0,D,G. Paparesta,6.0,19.0,2.0,6.0,19.0,20.0,2.0,7.0,3,1,0,0
155,I1,18/12/05,Milan,Messina,4,0,H,1,0,H,P. Tagliavento,17.0,10.0,8.0,4.0,12.0,16.0,11.0,5.0,1,0,0,0
156,I1,18/12/05,Palermo,Livorno,0,2,A,0,0,D,L. Palanca,9.0,10.0,4.0,5.0,12.0,21.0,8.0,1.0,2,2,1,0
157,I1,18/12/05,Reggina,Inter,0,4,A,0,3,A,P. Bertini,10.0,20.0,5.0,10.0,10.0,19.0,6.0,7.0,2,3,0,0
158,I1,18/12/05,Sampdoria,Roma,1,1,D,0,1,A,G. Rocchi,9.0,11.0,4.0,6.0,20.0,21.0,3.0,4.0,3,2,0,0
159,I1,18/12/05,Siena,Parma,2,2,D,0,0,D,A. Dattilo,8.0,3.0,4.0,2.0,16.0,19.0,5.0,2.0,3,1,0,0
160,I1,21/12/05,Ascoli,Treviso,1,0,H,1,0,H,P. Dondarini,7.0,5.0,3.0,1.0,19.0,14.0,6.0,3.0,3,2,1,1
