,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
173,F1,10/12/05,Nancy,Strasbourg,1,2,A,0,1,A,17.0,5.0,7.0,3.0,3,1,0,1
174,F1,10/12/05,Nice,Ajaccio,1,0,H,0,0,D,8.0,6.0,2.0,3.0,3,4,0,0
175,F1,10/12/05,Paris SG,Rennes,2,0,H,1,0,H,15.0,7.0,8.0,4.0,2,1,0,0
176,F1,10/12/05,Sochaux,Metz,1,1,D,1,1,D,16.0,8.0,6.0,3.0,0,2,0,0
177,F1,10/12/05,Toulouse,Troyes,2,1,H,1,1,D,7.0,11.0,2.0,4.0,3,3,0,0
178,F1,11/12/05,Nantes,Monaco,0,0,D,0,0,D,6.0,6.0,1.0,4.0,1,2,0,0
179,F1,11/12/05,St Etienne,Lyon,0,0,D,0,0,D,9.0,10.0,3.0,5.0,0,1,0,0
180,F1,16/12/05,Lyon,Lille,1,3,A,0,1,A,13.0,11.0,8.0,8.0,2,3,0,0
181,F1,17/12/05,Ajaccio,Paris SG,1,1,D,1,1,D,4.0,5.0,3.0,1.0,0,1,0,0
182,F1,17/12/05,Auxerre,Nancy,0,1,A,0,1,A,12.0,8.0,3.0,2.0,3,6,0,1
183,F1,17/12/05,Bordeaux,Nantes,0,0,D,0,0,D,13.0,3.0,5.0,0.0,2,3,0,1
184,F1,17/12/05,Metz,Nice,1,0,H,0,0,D,8.0,9.0,2.0,2.0,1,1,0,0
185,F1,17/12/05,Rennes,St Etienne,0,1,A,0,0,D,8.0,9.0,3.0,5.0,1,3,0,1
186,F1,17/12/05,Strasbourg,Marseille,0,1,A,0,0,D,11.0,5.0,5.0,5.0,1,2,0,0
187,F1,17/12/05,Troyes,Sochaux,2,1,H,0,0,D,8.0,3.0,5.0,0.0,2,2,0,0
188,F1,18/12/05,Lens,Le Mans,2,0,H,1,0,H,8.0,5.0,5.0,2.0,3,3,1,1
189,F1,18/12/05,Monaco,Toulouse,1,0,H,0,0,D,16.0,4.0,6.0,1.0,0,0,0,0
