,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
185,P1,05/02/18,Maritimo,Portimonense,0,3,A,0,3,A,9,8,2,3,18,18,7,1,4,1,0,0
186,P1,05/02/18,Setubal,Belenenses,3,0,H,1,0,H,11,4,4,2,18,12,3,7,0,3,0,0
187,P1,06/02/18,Aves,Boavista,3,0,H,2,0,H,14,3,7,1,21,13,5,5,4,5,0,0
188,P1,09/02/18,Pacos Ferreira,Tondela,0,2,A,0,2,A,7,6,2,3,15,16,2,7,4,2,1,1
189,P1,10/02/18,Portimonense,Benfica,1,3,A,0,1,A,6,11,2,7,16,19,5,4,3,2,0,0
190,P1,10/02/18,Rio Ave,Maritimo,3,0,H,2,0,H,7,4,5,2,10,18,4,2,1,6,0,1
191,P1,10/02/18,Sp Braga,Setubal,3,1,H,1,0,H,10,3,6,3,19,16,7,2,2,4,0,0
192,P1,11/02/18,Belenenses,Aves,2,5,A,1,4,A,9,6,3,4,7,16,4,5,0,3,0,0
193,P1,11/02/18,Boavista,Guimaraes,1,0,H,0,0,D,11,5,4,2,14,19,4,4,2,3,0,0
194,P1,11/02/18,Chaves,Porto,0,4,A,0,2,A,5,12,2,6,7,20,1,3,2,4,0,0
195,P1,11/02/18,Sp Lisbon,Feirense,2,0,H,0,0,D,17,5,10,1,11,22,15,5,4,7,0,0
196,P1,12/02/18,Moreirense,Estoril,1,2,A,1,0,H,7,7,2,4,20,4,1,3,3,2,0,0
197,P1,16/02/18,Feirense,Portimonense,1,3,A,1,1,D,10,10,4,7,19,22,6,3,4,3,0,0
198,P1,17/02/18,Aves,Maritimo,0,0,D,0,0,D,7,4,3,1,13,20,6,5,2,4,0,0
199,P1,17/02/18,Benfica,Boavista,4,0,H,2,0,H,15,4,11,1,11,10,9,6,2,0,0,0
200,P1,17/02/18,Estoril,Belenenses,0,2,A,0,1,A,10,8,3,4,11,12,6,4,1,0,1,0
201,P1,18/02/18,Guimaraes,Sp Braga,0,5,A,0,3,A,5,13,0,7,7,13,8,6,1,0,1,0
202,P1,18/02/18,Moreirense,Chaves,0,1,A,0,0,D,6,2,1,2,19,14,8,0,3,3,1,0
203,P1,18/02/18,Porto,Rio Ave,5,0,H,3,0,H,12,5,7,4,25,12,9,4,2,2,0,0
204,P1,18/02/18,Setubal,Pacos Ferreira,1,0,H,0,0,D,8,11,2,2,20,25,2,3,2,3,0,0
205,P1,19/02/18,Tondela,Sp Lisbon,1,2,A,1,1,D,7,16,3,6,23,12,5,9,5,3,1,1
206,P1,21/02/18,Estoril,Porto,1,3,A,1,0,H,11,24,3,13,27,19,3,7,3,3,0,0
207,P1,23/02/18,Rio Ave,Aves,0,0,D,0,0,D,13,8,6,4,9,17,8,2,1,4,1,0
208,P1,24/02/18,Belenenses,Feirense,1,0,H,0,0,D,7,3,4,1,23,13,9,2,1,1,0,0
209,P1,24/02/18,Maritimo,Guimaraes,3,2,H,3,1,H,7,4,4,2,20,13,6,1,1,3,0,0
210,P1,24/02/18,Pacos Ferreira,Benfica,1,3,A,1,0,H,7,11,3,7,16,14,2,12,2,2,1,0
211,P1,25/02/18,Boavista,Setubal,4,0,H,2,0,H,9,8,5,2,24,16,5,5,2,3,0,0
