,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
193,B1,03/02/18,Eupen,Gent,1,1,D,1,0,H,4,19,2,8,15,20,5,12,4,1,1,0
194,B1,03/02/18,Lokeren,Standard,0,3,A,0,1,A,3,15,3,11,18,12,1,7,2,1,1,0
195,B1,03/02/18,Mouscron,Genk,0,1,A,0,0,D,10,10,5,5,19,11,7,2,1,1,0,0
196,B1,03/02/18,St Truiden,Kortrijk,0,2,A,0,1,A,13,7,5,5,24,20,8,6,2,2,0,0
197,B1,04/02/18,Anderlecht,Mechelen,2,2,D,1,2,A,4,9,2,2,12,16,5,5,2,2,0,0
198,B1,04/02/18,Club Brugge,Charleroi,3,3,D,1,2,A,10,8,7,6,17,14,9,3,2,2,0,0
199,B1,04/02/18,Waregem,Oostende,1,1,D,1,1,D,8,8,4,4,15,17,7,3,6,3,0,0
200,B1,09/02/18,Genk,Waregem,3,1,H,1,1,D,10,10,8,6,16,24,2,9,2,4,0,0
201,B1,10/02/18,Gent,St Truiden,3,0,H,1,0,H,8,7,3,4,17,11,2,2,3,3,0,1
202,B1,10/02/18,Kortrijk,Antwerp,4,0,H,2,0,H,11,15,5,3,16,12,6,7,0,2,0,0
203,B1,10/02/18,Mechelen,Eupen,1,0,H,0,0,D,17,3,9,0,13,14,15,3,1,2,0,0
204,B1,10/02/18,Oostende,Anderlecht,2,0,H,2,0,H,4,9,2,2,22,16,3,9,2,3,0,1
205,B1,11/02/18,Charleroi,Lokeren,1,1,D,0,1,A,14,5,8,2,16,16,10,3,0,0,0,0
206,B1,11/02/18,Standard,Mouscron,4,3,H,1,1,D,15,9,7,7,16,20,10,3,3,6,1,1
207,B1,11/02/18,Waasland-Beveren,Club Brugge,1,1,D,0,0,D,7,16,2,11,25,24,4,4,3,3,0,0
208,B1,16/02/18,St Truiden,Anderlecht,1,0,H,1,0,H,8,4,5,1,25,27,5,7,3,4,0,0
209,B1,17/02/18,Antwerp,Oostende,0,0,D,0,0,D,11,7,4,2,23,14,9,3,2,1,0,0
210,B1,17/02/18,Club Brugge,Genk,2,2,D,1,1,D,12,9,7,4,16,16,7,3,1,3,0,0
211,B1,17/02/18,Lokeren,Kortrijk,0,1,A,0,0,D,9,13,3,9,11,10,8,5,3,0,0,0
212,B1,17/02/18,Waregem,Eupen,3,2,H,2,2,D,13,14,8,4,14,17,7,4,3,1,0,0
213,B1,18/02/18,Charleroi,Standard,1,1,D,0,0,D,6,4,2,1,18,28,4,2,5,4,0,1
214,B1,18/02/18,Gent,Mechelen,2,2,D,0,2,A,10,7,6,2,20,17,8,1,2,3,0,0
215,B1,18/02/18,Mouscron,Waasland-Beveren,2,2,D,1,1,D,12,11,7,7,21,11,2,1,5,1,0,0
216,B1,23/02/18,Genk,Antwerp,4,0,H,1,0,H,12,6,6,2,10,16,8,7,1,4,0,1
217,B1,24/02/18,Eupen,Lokeren,3,2,H,2,1,H,9,5,7,4,16,17,9,5,3,2,1,0
218,B1,24/02/18,Mechelen,Charleroi,1,1,D,1,1,D,11,3,7,2,11,27,2,3,3,3,0,0
219,B1,24/02/18,Oostende,St Truiden,2,0,H,2,0,H,6,12,4,4,24,19,1,4,3,2,1,0
220,B1,24/02/18,Waasland-Beveren,Gent,1,2,A,1,0,H,10,14,3,7,14,22,2,8,1,3,0,0
221,B1,25/02/18,Anderlecht,Mouscron,5,3,H,2,0,H,11,7,7,4,13,23,5,2,0,3,0,0
222,B1,25/02/18,Kortrijk,Waregem,0,1,A,0,0,D,11,10,5,5,16,20,7,4,1,2,0,0
223,B1,25/02/18,Standard,Club Brugge,1,1,D,1,0,H,12,12,6,8,11,14,6,8,1,1,0,0
224,B1,03/03/18,Antwerp,Eupen,2,0,H,2,0,H,11,6,8,1,20,16,5,3,2,3,0,0
225,B1,03/03/18,Charleroi,St Truiden,0,0,D,0,0,D,5,5,3,2,17,26,4,4,2,2,0,0
226,B1,03/03/18,Club Brugge,Kortrijk,2,1,H,0,0,D,23,6,11,3,17,13,11,3,0,0,0,0
227,B1,03/03/18,Gent,Oostende,2,3,A,0,1,A,15,6,7,3,12,19,5,2,2,6,0,0
228,B1,03/03/18,Mouscron,Lokeren,1,2,A,0,1,A,5,8,1,6,19,19,2,4,3,3,1,0
